Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
W,W,TMC,Global,IT Net,GB,1947.0,459.0,6.0,1.0,272.0,459.0
W,W,TMC,Global,Published,GB,45835.0,21205.0,100.0,36.0,458.0,589.0
W,W,TMC,Global,Published,NorAm,27362.0,34732.0,50.0,72.0,547.0,482.0
W,W,TMC,Global,Published,Other,1061.0,2551.5,2.0,6.0,531.0,324.0
W,W,TMC,Global,SME,GB,49019.0,12075.0,79.0,16.0,620.0,755.0
W,W,TMC,Global,SO Net,GB,1947.0,230.0,6.0,1.0,272.0,230.0
W,W,TMC,Local,Corporate,GB,39092.0,44936.0,71.0,68.0,551.0,661.0
W,W,TMC,Local,Corporate,NorAm,1558.0,886.0,2.0,1.0,779.0,886.0
W,W,TMC,Local,Corporate,Other,3813.0,2551.5,4.0,6.0,953.0,324.0
W,W,TMC,Local,IT Net,GB,278.0,19198.0,1.0,48.0,278.0,400.0
W,W,TMC,Local,IT Net,NorAm,629.0,1890.0,2.0,6.0,314.0,315.0
W,W,TMC,Local,Published,GB,27016.0,25459.0,67.0,52.0,403.0,490.0
W,W,TMC,Local,Published,NorAm,25525.0,18291.0,49.0,34.0,521.0,538.0
W,W,TMC,Local,Published,Other,3491.0,6878.0,5.0,10.0,698.0,688.0
W,W,TMC,Local,SME,GB,49698.0,14883.0,71.0,15.0,700.0,992.0
W,W,TMC,Local,SME,Other,432.0,2551.5,1.0,6.0,432.0,324.0
W,W,TMC,Local,SO Net,GB,1947.0,357.0,6.0,1.0,272.0,357.0
W,W,TMC,Local,SO Net,Other,412.0,2551.5,2.0,6.0,206.0,324.0
W,W,TMC,Local,Specialist,GB,6162.0,7348.0,22.0,17.0,280.0,432.0
W,W,TMC,MICE / Groups,IT Net,GB,1947.0,2359.0,6.0,2.0,272.0,1180.0
W,W,TMC,OTA,Corporate,NorAm,1947.0,1450.0,6.0,1.0,272.0,1450.0
W,W,TMC,OTA,Published,NorAm,2514.0,2268.0,4.0,5.0,629.0,454.0
W,W,Unmanaged,Consumer,Published,GB,1947.0,498.0,6.0,1.0,272.0,498.0
W,W,Unmanaged,Consumer,Published,NorAm,5878.0,2739.0,7.0,4.0,840.0,685.0
W,W,Unmanaged,Consumer,Published,Other,1940.0,5967.0,7.0,9.0,277.0,663.0
W,W,Unmanaged,Consumer,SO Net,NorAm,1947.0,191.0,6.0,1.0,272.0,191.0
W,W,Unmanaged,Consumer,SO Net,Other,127.0,180.0,1.0,1.0,127.0,180.0
W,W,Vhols,missing,IT Net,GB,7077.0,3617.0,26.0,14.0,272.0,258.0
W,W,Vhols,missing,Published,GB,436.0,2551.5,2.0,6.0,218.0,324.0
Y,D,Consumer,Consolidator,IT Net,GB,416.0,2551.5,1.0,6.0,416.0,324.0
Y,D,Consumer,OTA,Net Fare,NorAm,998.0,2551.5,4.0,6.0,250.0,324.0
Y,D,Consumer,OTA,Published,GB,1080.0,2551.5,6.0,6.0,180.0,324.0
Y,D,Consumer,OTA,Published,NorAm,1588.0,2551.5,7.0,6.0,227.0,324.0
Y,D,Consumer,Retail,IT Net,GB,601.0,2551.5,4.0,6.0,150.0,324.0
Y,D,Consumer,Retail,SO Net,GB,708.0,2551.5,5.0,6.0,142.0,324.0
Y,D,Consumer,Tour Op / Cruise,Published,NorAm,332.0,2551.5,1.0,6.0,332.0,324.0
Y,D,Direct,CTO,Published,GB,1387.0,2551.5,6.0,6.0,231.0,324.0
Y,D,Direct,CTO,Published,NorAm,745.0,2551.5,3.0,6.0,248.0,324.0
Y,D,Direct,OAL,Published,NorAm,8639.0,2551.5,19.0,6.0,455.0,324.0
Y,D,Direct,Res,Published,GB,6251.0,2551.5,18.0,6.0,347.0,324.0
Y,D,Direct,Res,Published,NorAm,6945.0,2551.5,16.0,6.0,434.0,324.0
Y,D,Direct,STAFF,SO Net,NorAm,219.0,2551.5,1.0,6.0,219.0,324.0
Y,D,Direct,Web,Published,GB,27794.0,2551.5,115.0,6.0,242.0,324.0
Y,D,Direct,Web,Published,NorAm,30335.0,2551.5,95.0,6.0,319.0,324.0
Y,D,Direct,WNS,Published,GB,489.0,2551.5,2.0,6.0,245.0,324.0
Y,D,missing,missing,Specialist,NorAm,237.0,2551.5,1.0,6.0,237.0,324.0
Y,D,TMC,Consortia,SME,GB,577.0,2551.5,2.0,6.0,289.0,324.0
Y,D,TMC,Global,Corporate,GB,5731.0,2551.5,14.0,6.0,409.0,324.0
Y,D,TMC,Global,Corporate,NorAm,3371.0,2551.5,8.0,6.0,421.0,324.0
Y,D,TMC,Global,Published,GB,3420.0,2551.5,4.0,6.0,855.0,324.0
Y,D,TMC,Global,Published,NorAm,474.0,2551.5,1.0,6.0,474.0,324.0
Y,D,TMC,Global,SME,GB,8906.0,2551.5,31.0,6.0,287.0,324.0
Y,D,TMC,Local,Published,GB,2393.0,2551.5,6.0,6.0,399.0,324.0
Y,D,TMC,Local,Published,NorAm,1308.0,2551.5,5.0,6.0,262.0,324.0
Y,D,TMC,Local,SME,GB,3902.0,2551.5,12.0,6.0,325.0,324.0
Y,D,TMC,Local,Specialist,GB,5767.0,2551.5,35.0,6.0,165.0,324.0
Y,D,TMC,OTA,Published,NorAm,309.0,2551.5,1.0,6.0,309.0,324.0
Y,D,Unmanaged,Consumer,Published,Other,1319.0,2551.5,2.0,6.0,660.0,324.0
Y,D,Vhols,missing,IT Net,GB,500.0,2551.5,4.0,6.0,125.0,324.0
Y,D,Vhols,missing,SO Net,GB,322.0,2551.5,2.0,6.0,161.0,324.0
Y,L,Consumer,Consolidator,Published,GB,1015.0,2551.5,12.0,6.0,85.0,324.0
Y,L,Consumer,Consolidator,Published,NorAm,4074.0,2551.5,27.0,6.0,151.0,324.0
Y,L,Consumer,Consolidator,Published,Other,526.0,2551.5,3.0,6.0,175.0,324.0
Y,L,Consumer,Consortia,Published,NorAm,70.0,2551.5,1.0,6.0,70.0,324.0
Y,L,Consumer,OTA,Net Fare,NorAm,3014.0,2551.5,23.0,6.0,131.0,324.0
Y,L,Consumer,OTA,Published,GB,7458.0,2551.5,63.0,6.0,118.0,324.0
Y,L,Consumer,OTA,Published,NorAm,32921.0,2551.5,247.0,6.0,133.0,324.0
Y,L,Consumer,OTA,Published,Other,4209.0,2551.5,39.0,6.0,108.0,324.0
Y,L,Consumer,Retail,Published,GB,2294.0,2551.5,20.0,6.0,115.0,324.0
Y,L,Consumer,Retail,Published,NorAm,577.0,2551.5,4.0,6.0,144.0,324.0
Y,L,Consumer,Student,Published,GB,139.0,2551.5,2.0,6.0,70.0,324.0
Y,L,Consumer,Student,Published,NorAm,1778.0,2551.5,16.0,6.0,111.0,324.0
Y,L,Consumer,Tour Op / Cruise,Published,GB,280.0,2551.5,4.0,6.0,70.0,324.0
Y,L,Consumer,Tour Op / Cruise,Published,Other,271.0,2551.5,2.0,6.0,136.0,324.0
Y,L,Consumer,VFR,Published,GB,6776.0,2551.5,64.0,6.0,106.0,324.0
Y,L,Direct,ATO,Published,GB,146.0,2551.5,1.0,6.0,146.0,324.0
Y,L,Direct,ATO,Published,NorAm,96.0,2551.5,1.0,6.0,96.0,324.0
Y,L,Direct,CTO,Published,GB,591.0,2551.5,3.0,6.0,197.0,324.0
Y,L,Direct,CTO,Published,NorAm,1456.0,2551.5,9.0,6.0,162.0,324.0
Y,L,Direct,OAL,Published,NorAm,27144.0,2551.5,211.0,6.0,129.0,324.0
Y,L,Direct,Res,Published,GB,706.0,2551.5,12.0,6.0,59.0,324.0
Y,L,Direct,Res,Published,NorAm,3573.0,2551.5,26.0,6.0,137.0,324.0
Y,L,Direct,Web,Published,GB,19212.0,2551.5,171.0,6.0,112.0,324.0
Y,L,Direct,Web,Published,NorAm,25683.0,2551.5,192.0,6.0,134.0,324.0
Y,L,missing,missing,Published,GB,1554.0,2551.5,13.0,6.0,120.0,324.0
Y,L,missing,missing,Published,NorAm,17919.0,2551.5,126.0,6.0,142.0,324.0
Y,L,Other,GSA,Published,Other,348.0,2551.5,2.0,6.0,174.0,324.0
Y,L,TMC,Consortia,Published,GB,501.0,2551.5,5.0,6.0,100.0,324.0
Y,L,TMC,Global,Corporate,NorAm,1188.0,2551.5,8.0,6.0,149.0,324.0
Y,L,TMC,Global,Published,GB,3374.0,2551.5,24.0,6.0,141.0,324.0
Y,L,TMC,Global,Published,NorAm,1429.0,2551.5,9.0,6.0,159.0,324.0
Y,L,TMC,Local,Published,GB,1499.0,2551.5,13.0,6.0,115.0,324.0
Y,L,TMC,Local,Published,NorAm,1300.0,2551.5,8.0,6.0,162.0,324.0
Y,L,TMC,Local,Published,Other,1386.0,2551.5,7.0,6.0,198.0,324.0
Y,L,TMC,OTA,Published,NorAm,640.0,2551.5,5.0,6.0,128.0,324.0
Y,L,Unmanaged,Consumer,Corporate,NorAm,437.0,2551.5,2.0,6.0,219.0,324.0
