Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
Y,Y,Direct,CTO,Published,Other,570,"1,605",3,7,190,229
Y,Y,Direct,CTO,SO Net,GB,320,,2,,160,
Y,Y,Direct,CTO,SO Net,NorAm,,85,,1,,85
Y,Y,Direct,CTO,SO Net,Other,113,,1,,113,
Y,Y,Direct,OAL,Corporate,NorAm,"1,293",,2,,647,
Y,Y,Direct,OAL,Group,NorAm,,"1,110",,6,,185
Y,Y,Direct,OAL,IT Net,NorAm,355,138,2,2,178,69
Y,Y,Direct,OAL,Published,NorAm,"102,376","58,663",460,618,223,95
Y,Y,Direct,OAL,SO Net,NorAm,369,"1,453",1,3,369,484
Y,Y,Direct,OAL,SO Net Type L,NorAm,,185,,1,,185
Y,Y,Direct,OAL,Specialist,NorAm,,175,,1,,175
Y,Y,Direct,Res,Published,GB,"11,709","17,772",88,90,133,197
Y,Y,Direct,Res,Published,NorAm,"25,517","39,008",141,211,181,185
Y,Y,Direct,Res,SO Net,GB,,97,,1,,97
Y,Y,Direct,Res,SO Net,NorAm,,132,,1,,132
Y,Y,Direct,Res,SO Net,Other,,413,,2,,207
Y,Y,Direct,Staff,Mates,GB,285,,2,,143,
Y,Y,Direct,Staff,Published,GB,504,444,29,117,17,4
Y,Y,Direct,Staff,SO Net,GB,160,"1,596",1,8,160,200
Y,Y,Direct,STAFF,Published,GB,235,,2,,117,
Y,Y,Direct,STAFF,Published,NorAm,,0,,2,,0
Y,Y,Direct,STAFF,SO Net,NorAm,136,320,1,3,136,107
Y,Y,Direct,Web,Net Fare,NorAm,176,,1,,176,
Y,Y,Direct,Web,Published,GB,"44,217","72,350",325,327,136,221
Y,Y,Direct,Web,Published,NorAm,"102,688","116,484",517,543,199,215
Y,Y,Direct,Web,Published,Other,245,936,1,5,245,187
Y,Y,Direct,WNS,Corporate,GB,,337,,1,,337
Y,Y,Direct,WNS,Published,GB,100,647,1,2,100,324
Y,Y,Direct,WNS,Published,NorAm,246,"5,252",1,40,246,131
